
일간그래프(5분평균)
일시,수신,송신
2024.12.01 22:00:00,171480387984.87997,34086639930.180004
2024.12.01 22:05:00,170204502856.31998,34110852626.399998
2024.12.01 22:10:00,171983383872.98,34099491726.93
2024.12.01 22:15:00,174104745826.69,34202034275.989998
2024.12.01 22:20:00,170794625702.27,34248370128.069996
2024.12.01 22:25:00,170722285650.22,33879013202.18
2024.12.01 22:30:00,180611385469.45996,34408185679.509995
2024.12.01 22:35:00,174049643025.66998,33940234794.569996
2024.12.01 22:40:00,176734767144.38004,34135473897.280003
2024.12.01 22:45:00,179854809460.02,34094725638.8
2024.12.01 22:50:00,179410957061.71,34273851343.13
2024.12.01 22:55:00,176269549218.69998,33563760600.87
2024.12.01 23:00:00,177283729939.13998,33582976861.73
2024.12.01 23:05:00,180486561431.1,33217095546.27
2024.12.01 23:10:00,176303983242.87003,32888946290.05
2024.12.01 23:15:00,178676539510.47998,32776210789.690006
2024.12.01 23:20:00,184731020859.62,33226639021.1
2024.12.01 23:25:00,176581434314.46002,32512381609.04
2024.12.01 23:30:00,175595614987.77002,32385416054.690002
2024.12.01 23:35:00,172931688479.72,31746979961.97
2024.12.01 23:40:00,172764197432.77,31607844942.11
2024.12.01 23:45:00,168450055385.84,31181298290.350002
2024.12.01 23:50:00,171517436700.75,31263823844.809998
2024.12.01 23:55:00,167614754638.94003,30774023956.510002
